Year,FIPS,AgeGroup,MonthlyIncome,AverageRate,AveragePoints,County,MedianHousePrice,MonthlyMortgage,mortgage_income_ratio,affordable
2020,34011,65-plus,4408.320069358194,3.62,0.7,Cumberland County,138781.0,775.1994898777708,0.17584918465111177,Yes
2020,34011,65-plus,4408.320069358194,3.47,0.7,Cumberland County,139575.0,769.319430986994,0.1745153298496765,Yes
2020,34011,65-plus,4408.320069358194,3.45,0.7,Cumberland County,139222.0,766.00960658097,0.1737645167612553,Yes
2020,34011,65-plus,4408.320069358194,3.31,0.7,Cumberland County,140312.0,762.4349112715092,0.17295361935516446,Yes
2020,34011,65-plus,4408.320069358194,3.23,0.7,Cumberland County,141912.0,765.6383353005212,0.17368029617958078,Yes
2020,34011,65-plus,4408.320069358194,3.16,0.8,Cumberland County,144181.0,773.0239311334536,0.1753556726760083,Yes
2020,34011,65-plus,4408.320069358194,3.02,0.8,Cumberland County,146407.0,775.1686026655871,0.17584217807906213,Yes
2020,34011,65-plus,4408.320069358194,2.94,0.8,Cumberland County,148917.0,782.8119820268685,0.17757603116618478,Yes
2020,34011,65-plus,4408.320069358194,2.89,0.8,Cumberland County,151112.0,790.7862125712229,0.17938493578719505,Yes
2020,34011,65-plus,4408.320069358194,2.83,0.7,Cumberland County,153715.0,800.0744657565585,0.1814919182746731,Yes
2020,34011,65-plus,4408.320069358194,2.77,0.7,Cumberland County,156385.0,809.5819438285956,0.18364863056471814,Yes
2020,34011,65-plus,4408.320069358194,2.68,0.7,Cumberland County,159980.0,821.4937336203152,0.18635074602010834,Yes
2020,34011,overall,4683.678276596169,3.62,0.7,Cumberland County,138781.0,775.1994898777708,0.16551083231983682,Yes
2020,34011,overall,4683.678276596169,3.47,0.7,Cumberland County,139575.0,769.319430986994,0.16425539619815469,Yes
2020,34011,overall,4683.678276596169,3.45,0.7,Cumberland County,139222.0,766.00960658097,0.16354872417446703,Yes
2020,34011,overall,4683.678276596169,3.31,0.7,Cumberland County,140312.0,762.4349112715092,0.1627855002512264,Yes
2020,34011,overall,4683.678276596169,3.23,0.7,Cumberland County,141912.0,765.6383353005212,0.16346945500640656,Yes
2020,34011,overall,4683.678276596169,3.16,0.8,Cumberland County,144181.0,773.0239311334536,0.16504633441544656,Yes
2020,34011,overall,4683.678276596169,3.02,0.8,Cumberland County,146407.0,775.1686026655871,0.16550423767128078,Yes
2020,34011,overall,4683.678276596169,2.94,0.8,Cumberland County,148917.0,782.8119820268685,0.1671361557728025,Yes
2020,34011,overall,4683.678276596169,2.89,0.8,Cumberland County,151112.0,790.7862125712229,0.16883871305223838,Yes
2020,34011,overall,4683.678276596169,2.83,0.7,Cumberland County,153715.0,800.0744657565585,0.17082182389735087,Yes
2020,34011,overall,4683.678276596169,2.77,0.7,Cumberland County,156385.0,809.5819438285956,0.1728517408793829,Yes
2020,34011,overall,4683.678276596169,2.68,0.7,Cumberland County,159980.0,821.4937336203152,0.17539499622022078,Yes
2020,34011,under-25,2527.142612025497,3.62,0.7,Cumberland County,138781.0,775.1994898777708,0.3067494039271693,No
2020,34011,under-25,2527.142612025497,3.47,0.7,Cumberland County,139575.0,769.319430986994,0.3044226421279751,No
2020,34011,under-25,2527.142612025497,3.45,0.7,Cumberland County,139222.0,766.00960658097,0.3031129319476813,No
2020,34011,under-25,2527.142612025497,3.31,0.7,Cumberland County,140312.0,762.4349112715092,0.30169841133754616,No
2020,34011,under-25,2527.142612025497,3.23,0.7,Cumberland County,141912.0,765.6383353005212,0.3029660184815864,No
2020,34011,under-25,2527.142612025497,3.16,0.8,Cumberland County,144181.0,773.0239311334536,0.30588852700872204,No
2020,34011,under-25,2527.142612025497,3.02,0.8,Cumberland County,146407.0,775.1686026655871,0.30673718173913894,No
2020,34011,under-25,2527.142612025497,2.94,0.8,Cumberland County,148917.0,782.8119820268685,0.3097616961946786,No
2020,34011,under-25,2527.142612025497,2.89,0.8,Cumberland County,151112.0,790.7862125712229,0.3129171297291411,No
2020,34011,under-25,2527.142612025497,2.83,0.7,Cumberland County,153715.0,800.0744657565585,0.31659252704986895,No
2020,34011,under-25,2527.142612025497,2.77,0.7,Cumberland County,156385.0,809.5819438285956,0.32035467249698196,No
2020,34011,under-25,2527.142612025497,2.68,0.7,Cumberland County,159980.0,821.4937336203152,0.3250682132900646,No
2021,34011,25-44,4418.799324724793,2.74,0.7,Cumberland County,162910.0,841.0819936492696,0.19034174938497642,Yes
2021,34011,25-44,4418.799324724793,2.81,0.7,Cumberland County,166016.0,862.5446063507022,0.19519886352938698,Yes
2021,34011,25-44,4418.799324724793,3.08,0.7,Cumberland County,169059.0,899.9334596113664,0.20366017858650212,Yes
2021,34011,25-44,4418.799324724793,3.06,0.7,Cumberland County,172955.0,919.0227586914007,0.20798019804817414,Yes
2021,34011,25-44,4418.799324724793,2.96,0.7,Cumberland County,176295.0,928.3973720377304,0.21010172759894497,Yes
2021,34011,25-44,4418.799324724793,2.98,0.7,Cumberland County,180773.0,953.6914859807487,0.2158259327696773,Yes
2021,34011,25-44,4418.799324724793,2.87,0.7,Cumberland County,185766.0,970.3862884182432,0.21960406370766333,Yes
2021,34011,25-44,4418.799324724793,2.84,0.7,Cumberland County,191094.0,995.525481452624,0.2252932093752925,Yes
